carrera,modalidad,beca,edad,promedio,asistencias,aprobado
Economia,Presencial,No,28,6.7,88,Si
Industrial,Hibrida,Si,27,6.7,82,Si
Industrial,Hibrida,No,28,9.0,81,Si
Medicina,Presencial,No,20,9.0,71,No
Computacion,Presencial,No,29,6.4,92,No
Derecho,Presencial,No,23,6.5,80,No
Medicina,Virtual,Si,26,8.5,59,No
Arquitectura,Presencial,No,25,7.9,86,Si
Industrial,Virtual,No,20,5.3,86,No
Computacion,Virtual,Si,28,9.5,42,No
Derecho,Presencial,Si,23,10.0,61,Si
Arquitectura,Hibrida,No,27,6.6,59,No
Medicina,Presencial,Si,19,6.0,90,No
Industrial,Hibrida,No,30,8.2,100,Si
Computacion,Virtual,No,22,7.8,62,Si
Computacion,Presencial,Si,25,8.0,82,Si
Arquitectura,Virtual,No,29,8.5,90,Si
Industrial,Hibrida,No,22,7.4,56,No
Industrial,Hibrida,Si,24,9.200000000000001,51,No
Arquitectura,Virtual,Si,26,9.6,76,Si
Industrial,Presencial,Si,27,8.6,50,No
Computacion,Presencial,Si,27,5.3,60,No
Computacion,Presencial,Si,26,5.8999999999999995,84,No
Industrial,Presencial,Si,22,5.0,83,No
Arquitectura,Virtual,Si,27,7.4,54,No
Industrial,Presencial,Si,21,4.4,59,No
Derecho,Hibrida,Si,27,6.8,58,No
Arquitectura,Virtual,No,24,7.9,43,No
Economia,Hibrida,No,29,4.9,63,No
Industrial,Virtual,Si,29,6.5,82,Si
Medicina,Virtual,Si,27,6.0,65,No
Economia,Hibrida,Si,23,9.7,99,Si
Derecho,Virtual,Si,19,7.1,47,No
Computacion,Presencial,No,27,8.9,81,Si
Economia,Hibrida,No,26,5.6,56,No
Derecho,Virtual,No,20,6.1,80,No
Derecho,Virtual,Si,28,7.199999999999999,50,No
Economia,Presencial,No,29,8.7,93,Si
Industrial,Virtual,Si,25,10.0,65,Si
Industrial,Presencial,No,28,9.1,69,Si
Economia,Presencial,Si,19,8.5,55,No
Industrial,Virtual,No,30,9.2,68,Si
Arquitectura,Hibrida,Si,24,4.8,62,No
Industrial,Virtual,No,21,10.0,86,Si
Derecho,Hibrida,Si,20,4.9,58,No
Medicina,Virtual,No,20,6.2,55,No
Computacion,Virtual,No,25,5.8,58,No
Arquitectura,Virtual,Si,22,10.0,85,Si
Medicina,Presencial,No,18,7.7,80,Si
Computacion,Virtual,Si,24,6.5,38,No
Arquitectura,Presencial,No,19,9.5,50,No
Industrial,Virtual,Si,25,6.7,53,No
Economia,Presencial,No,28,9.0,60,Si
Industrial,Virtual,Si,23,9.4,84,Si
Derecho,Virtual,No,29,6.0,42,No
Medicina,Hibrida,No,19,6.5,97,No
Industrial,Presencial,No,30,8.6,75,Si
Industrial,Virtual,Si,19,9.799999999999999,95,Si
Computacion,Hibrida,Si,18,8.4,71,Si
Computacion,Virtual,No,22,5.7,37,No
Derecho,Hibrida,Si,21,6.4,57,No
Derecho,Hibrida,No,21,6.8,100,No
Industrial,Hibrida,Si,21,10.0,87,Si
Computacion,Presencial,No,18,5.6,62,No
Medicina,Presencial,Si,19,9.6,85,Si
Derecho,Presencial,No,24,6.9,82,No
Computacion,Virtual,Si,22,6.4,54,No
Derecho,Presencial,Si,18,8.2,70,Si
Arquitectura,Presencial,No,20,5.5,81,Si
Economia,Presencial,Si,28,4.699999999999999,85,No
Economia,Hibrida,No,29,8.7,83,Si
Derecho,Hibrida,No,21,7.5,55,No
Derecho,Hibrida,Si,18,8.2,91,Si
Medicina,Presencial,Si,26,8.5,81,Si
Industrial,Presencial,Si,20,5.8,85,No
Arquitectura,Virtual,No,25,7.8,39,No
Medicina,Hibrida,Si,20,7.8,100,Si
Computacion,Hibrida,Si,29,9.4,81,Si
Computacion,Presencial,No,30,7.1,85,Si
Medicina,Hibrida,No,21,5.1,74,No
Industrial,Presencial,No,26,8.2,83,Si
Derecho,Virtual,No,26,4.7,58,No
Economia,Presencial,Si,22,10.0,67,Si
Derecho,Presencial,Si,18,8.4,90,Si
Computacion,Hibrida,No,29,4.8,89,No
Computacion,Hibrida,Si,23,5.3999999999999995,67,No
Arquitectura,Hibrida,Si,29,9.3,74,Si
Industrial,Hibrida,Si,25,5.5,67,No
Medicina,Presencial,No,21,8.4,87,Si
Medicina,Presencial,No,20,6.8,69,No
Industrial,Presencial,No,18,5.9,61,No
Industrial,Hibrida,Si,19,5.1000000000000005,77,No
Medicina,Presencial,Si,29,8.6,64,Si
Computacion,Presencial,Si,20,5.7,55,No
Arquitectura,Presencial,Si,30,5.3,97,No
Computacion,Presencial,Si,25,9.299999999999999,78,Si
Medicina,Presencial,Si,18,7.7,82,Si
Computacion,Presencial,No,19,7.1,76,Si
Derecho,Presencial,Si,24,6.8,72,Si
Industrial,Virtual,Si,25,5.1,45,No
Economia,Presencial,No,19,6.2,55,No
Arquitectura,Presencial,Si,24,7.3,88,Si
Industrial,Hibrida,No,27,8.9,72,No
Economia,Virtual,No,22,8.9,88,Si
Derecho,Hibrida,Si,23,5.5,78,No
Medicina,Presencial,Si,27,6.699999999999999,100,Si
Derecho,Presencial,No,23,5.9,77,No
Medicina,Hibrida,No,20,8.8,99,Si
Arquitectura,Virtual,No,26,7.2,47,No
Industrial,Virtual,Si,29,4.7,68,No
Economia,Hibrida,No,20,9.5,53,No
Economia,Presencial,No,25,4.9,85,No
Medicina,Presencial,Si,21,5.1,64,No
Medicina,Hibrida,Si,29,10.0,78,Si
Computacion,Virtual,Si,18,5.1000000000000005,52,No
Medicina,Presencial,Si,25,9.1,100,Si
Medicina,Hibrida,No,25,8.7,99,Si
Derecho,Presencial,Si,27,8.6,82,Si
Medicina,Hibrida,No,26,8.3,80,Si
Industrial,Presencial,No,20,5.6,55,No
Derecho,Hibrida,Si,24,8.0,64,No
Arquitectura,Hibrida,Si,29,7.3,70,Si
Medicina,Presencial,Si,30,6.4,85,Si
Economia,Hibrida,No,18,5.4,60,No
Computacion,Presencial,Si,30,9.9,62,No
Computacion,Presencial,No,19,9.9,86,Si
Medicina,Presencial,Si,23,5.3999999999999995,74,No
Medicina,Hibrida,Si,23,9.3,100,Si
Computacion,Virtual,No,29,7.0,73,Si
Medicina,Virtual,Si,22,5.7,98,Si
Industrial,Presencial,Si,30,8.7,59,No
Arquitectura,Hibrida,No,25,8.7,71,Si
Arquitectura,Virtual,Si,29,8.799999999999999,62,No
Computacion,Presencial,No,19,8.8,59,No
Economia,Hibrida,Si,25,4.699999999999999,70,No
Computacion,Virtual,No,23,4.5,42,No
Medicina,Virtual,No,28,9.5,51,No
Economia,Virtual,No,27,9.5,39,No
Arquitectura,Virtual,No,19,8.1,63,Si
Industrial,Presencial,Si,29,9.399999999999999,94,Si
Computacion,Virtual,No,20,7.4,42,No
Medicina,Hibrida,Si,23,7.5,100,Si
Computacion,Presencial,Si,24,8.9,62,Si
Economia,Hibrida,No,21,8.2,80,Si
Medicina,Presencial,Si,25,5.4,73,No
Medicina,Presencial,No,30,6.6,88,Si
Computacion,Hibrida,No,22,5.5,61,Si
Computacion,Virtual,No,19,5.8,76,No
Arquitectura,Presencial,No,20,9.0,55,No
Medicina,Virtual,No,20,5.2,68,No
Derecho,Hibrida,No,23,9.5,86,Si
Computacion,Hibrida,Si,19,8.8,87,Si
Industrial,Hibrida,No,18,4.9,79,No
Medicina,Virtual,Si,30,10.0,80,Si
Derecho,Hibrida,No,28,9.8,56,No
Industrial,Presencial,No,29,7.3,60,No
Derecho,Virtual,Si,21,10.0,81,Si
Economia,Virtual,Si,29,7.3,61,Si
Arquitectura,Virtual,No,19,9.6,61,Si
Arquitectura,Hibrida,Si,26,7.3,68,No
Medicina,Hibrida,No,29,7.7,62,No
Computacion,Presencial,Si,27,10.0,56,No
Arquitectura,Presencial,No,26,7.5,52,No
Medicina,Presencial,Si,30,6.9,80,No
Computacion,Virtual,No,24,9.4,74,Si
Economia,Presencial,No,22,9.3,66,Si
Medicina,Hibrida,Si,18,9.4,81,Si
Economia,Hibrida,No,23,5.0,86,No
Derecho,Hibrida,No,21,7.7,75,Si
Arquitectura,Virtual,Si,28,6.6,86,Si
Derecho,Virtual,Si,19,8.8,50,No
Industrial,Virtual,Si,23,5.5,50,No
Arquitectura,Presencial,Si,27,8.7,55,No
Industrial,Presencial,No,28,7.8,72,Si
Industrial,Presencial,No,21,7.2,65,No
Medicina,Virtual,Si,22,5.0,69,No
Computacion,Presencial,No,27,4.7,59,No
Derecho,Presencial,Si,25,9.4,63,Si
Computacion,Virtual,Si,25,10.0,43,No
Economia,Hibrida,No,30,5.0,69,No
Derecho,Hibrida,Si,19,10.0,72,No
Arquitectura,Presencial,Si,26,8.7,57,No
Computacion,Hibrida,Si,21,9.899999999999999,57,No
Derecho,Presencial,Si,29,8.299999999999999,58,No
Computacion,Virtual,No,25,8.5,63,Si
Medicina,Presencial,No,20,5.2,100,No
Computacion,Hibrida,No,20,8.8,96,Si
Medicina,Virtual,No,23,7.7,81,Si
Economia,Virtual,Si,25,5.5,39,No
Industrial,Hibrida,No,24,4.2,61,No
Medicina,Presencial,No,21,4.4,100,No
Economia,Presencial,Si,23,8.4,95,Si
Economia,Presencial,Si,24,6.1000000000000005,63,Si
Economia,Hibrida,Si,27,9.9,76,Si
Economia,Presencial,Si,18,8.8,81,Si
Computacion,Presencial,No,20,7.6,87,Si
Arquitectura,Presencial,No,18,7.9,86,Si
Medicina,Virtual,Si,24,4.5,91,No
Medicina,Presencial,No,29,5.8,80,No
Arquitectura,Virtual,No,27,4.3,50,No
Industrial,Presencial,No,27,4.6,64,No
Computacion,Presencial,Si,23,9.5,96,Si
Derecho,Hibrida,No,26,9.9,94,Si
Economia,Presencial,Si,18,9.899999999999999,54,No
Medicina,Virtual,Si,20,8.2,49,No
Medicina,Hibrida,No,28,4.7,91,No
Industrial,Virtual,No,23,8.6,68,Si
Economia,Hibrida,Si,23,7.9,65,No
Derecho,Hibrida,Si,19,10.0,53,No
Medicina,Virtual,Si,25,5.199999999999999,62,No
Medicina,Hibrida,Si,26,5.3,66,No
Medicina,Hibrida,Si,30,6.7,63,No
Arquitectura,Hibrida,Si,20,7.3999999999999995,56,No
Medicina,Presencial,No,18,6.9,95,Si
Computacion,Hibrida,Si,23,6.8999999999999995,59,No
Economia,Presencial,No,22,6.2,53,No
Industrial,Virtual,Si,22,5.5,48,No
Medicina,Presencial,Si,28,5.6,65,No
Arquitectura,Virtual,Si,19,7.9,55,No
Medicina,Virtual,No,19,5.3,83,No
Derecho,Virtual,No,29,7.6,91,Si
Arquitectura,Hibrida,No,29,5.8,94,Si
Economia,Hibrida,Si,20,5.199999999999999,79,No
Medicina,Virtual,No,18,5.1,62,No
Computacion,Hibrida,No,25,7.5,81,Si
Medicina,Presencial,Si,18,7.800000000000001,76,Si
Derecho,Presencial,Si,22,9.200000000000001,71,No
Arquitectura,Virtual,No,22,6.2,34,No
Economia,Hibrida,No,19,5.6,83,No
Computacion,Presencial,No,21,8.0,59,No
Computacion,Presencial,No,23,5.2,55,No
Medicina,Hibrida,Si,22,10.0,100,Si
Arquitectura,Presencial,No,28,6.1,71,Si
Medicina,Virtual,No,21,4.2,85,No
Medicina,Hibrida,No,22,4.7,62,No
Derecho,Virtual,Si,26,10.0,79,Si
Economia,Presencial,No,18,5.3,87,No
Medicina,Virtual,Si,24,6.199999999999999,42,No
Arquitectura,Hibrida,Si,19,9.100000000000001,59,No
Arquitectura,Presencial,No,21,4.2,72,No
Industrial,Hibrida,No,24,6.4,56,No
Economia,Hibrida,No,20,7.4,93,Si
Arquitectura,Presencial,Si,22,5.0,85,No
Economia,Hibrida,No,26,5.1,100,No
Medicina,Presencial,Si,26,7.4,83,Si
Medicina,Virtual,No,25,6.5,83,No
Computacion,Virtual,Si,30,5.3,57,No
Arquitectura,Hibrida,No,18,8.5,75,Si
Industrial,Presencial,No,30,8.6,83,Si
Computacion,Presencial,Si,22,9.1,91,Si
Economia,Hibrida,No,29,6.0,53,No
Arquitectura,Hibrida,Si,29,5.6000000000000005,59,No
Derecho,Presencial,Si,22,8.6,96,Si
Medicina,Hibrida,Si,19,5.1000000000000005,73,No
Derecho,Presencial,Si,25,4.5,82,No
Computacion,Virtual,No,25,9.9,52,No
Industrial,Virtual,Si,24,5.0,41,No
Derecho,Presencial,Si,25,7.4,68,No
Medicina,Virtual,No,24,6.3,50,No
Derecho,Presencial,No,25,4.7,74,No
Economia,Presencial,No,18,9.4,72,No
Medicina,Hibrida,No,22,4.1,70,No
Arquitectura,Presencial,No,29,7.2,82,Si
Industrial,Presencial,No,28,8.3,71,Si
Derecho,Virtual,No,24,4.4,71,No
Medicina,Hibrida,Si,27,8.700000000000001,97,Si
Economia,Hibrida,No,27,7.7,75,Si
Computacion,Hibrida,Si,21,5.0,56,No
Economia,Presencial,Si,19,10.0,61,Si
Medicina,Presencial,Si,27,5.9,58,No
Industrial,Presencial,Si,23,4.8999999999999995,78,No
Arquitectura,Hibrida,Si,21,6.0,78,Si
Industrial,Presencial,No,26,8.9,62,Si
Computacion,Hibrida,Si,21,4.9,58,No
Medicina,Hibrida,Si,23,5.5,100,Si
Derecho,Hibrida,No,26,6.1,89,No
Derecho,Presencial,No,24,7.8,54,No
Derecho,Hibrida,No,19,4.7,64,No
Arquitectura,Virtual,Si,21,9.200000000000001,55,No
Derecho,Virtual,Si,26,7.8,69,Si
Industrial,Presencial,No,22,7.9,52,No
Economia,Presencial,No,30,4.4,63,No
Industrial,Virtual,Si,21,7.3,80,Si
Medicina,Hibrida,Si,26,7.5,67,Si
Medicina,Hibrida,Si,28,6.699999999999999,89,No
Derecho,Presencial,Si,18,9.0,62,No
Industrial,Hibrida,Si,26,7.5,74,No
Medicina,Hibrida,No,26,4.8,84,No
Economia,Virtual,Si,23,6.8,41,No
Derecho,Virtual,Si,30,4.8,84,No
Derecho,Virtual,Si,22,5.1,60,No
Medicina,Virtual,Si,28,4.9,68,No
Economia,Presencial,No,29,5.8,73,No
Economia,Hibrida,Si,26,10.0,70,Si
Computacion,Virtual,No,29,9.7,68,Si
Derecho,Hibrida,Si,22,8.6,63,No
Derecho,Presencial,Si,29,7.0,98,Si
Medicina,Presencial,No,22,7.5,75,Si
Arquitectura,Virtual,No,18,9.2,55,No
Derecho,Virtual,Si,28,6.6,39,No
Computacion,Hibrida,No,22,8.9,87,Si
Computacion,Virtual,No,24,8.7,91,Si
Arquitectura,Virtual,No,26,6.8,73,Si
Medicina,Virtual,Si,20,9.5,69,Si
Arquitectura,Virtual,No,27,6.4,76,Si
Industrial,Virtual,Si,19,6.5,77,No
Medicina,Virtual,Si,25,4.6,42,No
Medicina,Presencial,Si,22,10.0,95,Si
Economia,Virtual,No,25,4.8,80,No
Arquitectura,Hibrida,Si,21,4.8,52,No
Medicina,Hibrida,No,18,7.3,69,No
Economia,Virtual,Si,28,9.6,66,Si
Computacion,Hibrida,No,19,7.1,65,Si
Arquitectura,Virtual,No,19,7.9,59,No
Arquitectura,Virtual,No,24,9.4,53,No
Economia,Hibrida,Si,20,6.9,68,No
Computacion,Presencial,Si,30,6.5,95,No
Arquitectura,Hibrida,No,21,6.3,87,Si
Industrial,Presencial,No,30,10.0,55,No
Derecho,Hibrida,No,26,8.4,83,Si
Arquitectura,Virtual,No,23,5.6,72,No
Economia,Presencial,No,21,6.7,97,No
Industrial,Presencial,No,29,9.7,76,Si
Economia,Hibrida,Si,23,8.1,88,Si
Derecho,Hibrida,Si,26,6.0,76,No
Arquitectura,Virtual,No,23,5.9,37,No
Derecho,Hibrida,No,28,9.3,62,No
Medicina,Presencial,Si,19,7.1,100,Si
Computacion,Presencial,Si,24,4.8999999999999995,60,No
Arquitectura,Virtual,No,23,4.8,82,No
Computacion,Virtual,No,27,7.7,50,No
Economia,Virtual,No,28,6.7,63,No
Industrial,Presencial,Si,29,8.7,82,Si
Arquitectura,Hibrida,No,28,7.9,74,Si
Derecho,Hibrida,No,30,4.6,69,No
Computacion,Hibrida,No,22,5.9,70,No
Derecho,Presencial,Si,24,7.8,86,Si
Economia,Virtual,Si,19,5.9,62,Si
Economia,Hibrida,Si,21,8.1,59,No
Arquitectura,Presencial,Si,27,9.8,84,Si
Medicina,Presencial,No,21,5.7,97,No
Arquitectura,Presencial,No,22,9.5,95,Si
Computacion,Virtual,No,25,5.6,45,No
Computacion,Virtual,Si,29,9.100000000000001,89,Si
Economia,Virtual,Si,29,8.2,34,No
Arquitectura,Virtual,Si,26,8.8,84,Si
Derecho,Presencial,No,21,8.0,66,Si
Medicina,Presencial,No,22,4.8,96,No
Industrial,Hibrida,Si,18,7.0,81,Si
Derecho,Presencial,No,29,5.6,74,No
Derecho,Hibrida,No,25,7.2,61,No
Derecho,Virtual,No,25,8.8,59,No
Economia,Presencial,Si,19,10.0,98,Si
Medicina,Virtual,Si,28,7.0,58,No
Medicina,Hibrida,Si,30,9.600000000000001,95,Si
Economia,Virtual,Si,30,6.7,70,Si
Medicina,Virtual,No,24,5.6,42,No
Economia,Hibrida,Si,22,7.2,64,Si
Derecho,Hibrida,Si,27,8.2,58,No
Industrial,Presencial,No,19,8.7,71,No
Arquitectura,Presencial,Si,26,5.5,84,Si
Arquitectura,Virtual,Si,22,9.100000000000001,58,No
Derecho,Presencial,Si,18,8.6,83,Si
Medicina,Presencial,Si,22,6.3999999999999995,79,Si
Economia,Hibrida,Si,30,6.3999999999999995,75,No
Economia,Presencial,Si,19,7.6,95,Si
Computacion,Hibrida,Si,19,8.700000000000001,100,Si
Economia,Virtual,No,26,8.5,56,No
Computacion,Virtual,No,24,5.7,43,No
Arquitectura,Virtual,No,22,9.4,72,Si
Medicina,Hibrida,No,23,8.6,100,Si
Arquitectura,Presencial,No,30,5.4,73,No
Computacion,Hibrida,No,23,4.9,90,No
Computacion,Hibrida,Si,21,9.7,81,Si
Medicina,Hibrida,No,26,8.3,94,Si
Medicina,Virtual,No,22,8.4,49,No
Arquitectura,Virtual,Si,22,8.5,78,Si
Industrial,Presencial,No,25,8.3,82,Si
Industrial,Hibrida,Si,19,6.8999999999999995,54,No
Derecho,Hibrida,Si,20,5.2,57,No
Derecho,Hibrida,No,20,8.5,85,Si
Computacion,Virtual,Si,24,10.0,83,Si
Economia,Hibrida,Si,20,5.9,93,No
Industrial,Virtual,No,25,6.8,62,Si
Industrial,Virtual,Si,23,6.6,39,No
Economia,Hibrida,Si,21,8.6,84,Si
Arquitectura,Virtual,Si,19,6.3999999999999995,73,Si
Derecho,Virtual,No,24,7.5,53,No
Medicina,Virtual,Si,19,7.699999999999999,51,No
Derecho,Hibrida,No,23,7.5,87,Si
Industrial,Hibrida,No,21,5.0,100,No
Derecho,Presencial,Si,20,5.3,50,No
Computacion,Presencial,No,24,8.0,70,Si
Computacion,Presencial,No,24,8.6,95,Si
Economia,Hibrida,No,26,4.5,88,No
Derecho,Hibrida,No,29,4.9,77,No
Medicina,Hibrida,No,28,4.7,92,No
Computacion,Virtual,No,30,8.0,78,Si
Arquitectura,Presencial,No,23,5.1,97,No
Derecho,Virtual,No,26,5.2,73,No
Economia,Virtual,Si,27,6.1,78,Si
Industrial,Hibrida,No,22,7.8,86,Si
Industrial,Virtual,No,25,5.0,89,No
Computacion,Hibrida,Si,29,8.5,58,No
Computacion,Presencial,No,28,8.3,70,Si
Arquitectura,Virtual,Si,28,8.4,36,No
Economia,Hibrida,Si,27,8.700000000000001,73,No
Medicina,Virtual,Si,19,5.8,100,Si
Medicina,Presencial,No,27,5.2,93,No
Industrial,Presencial,No,22,7.4,57,No
Arquitectura,Hibrida,Si,27,9.7,55,No
Industrial,Presencial,Si,23,8.1,51,No
Derecho,Hibrida,No,25,4.5,96,No
Economia,Hibrida,Si,29,8.7,58,No
Economia,Presencial,No,20,7.4,76,Si
Derecho,Virtual,Si,20,10.0,47,No
Arquitectura,Virtual,No,30,7.9,68,Si
Arquitectura,Virtual,Si,26,7.7,76,Si
Economia,Presencial,No,29,9.8,85,Si
Economia,Presencial,Si,22,5.3,66,No
Industrial,Hibrida,Si,25,5.1,87,No
Industrial,Hibrida,Si,23,8.5,90,Si
Derecho,Virtual,No,23,6.0,46,No
Economia,Presencial,No,26,5.1,51,No
Arquitectura,Virtual,No,29,6.4,52,No
Arquitectura,Virtual,No,28,6.4,40,No
Arquitectura,Presencial,No,24,8.6,86,Si
Computacion,Presencial,Si,22,10.0,94,Si
Arquitectura,Presencial,Si,28,6.8,53,No
Derecho,Virtual,No,24,5.0,41,No
Derecho,Virtual,No,19,5.1,45,No
Derecho,Presencial,No,18,6.9,72,Si
Arquitectura,Hibrida,No,29,5.3,80,No
Medicina,Hibrida,Si,30,9.8,81,Si
Medicina,Virtual,No,28,8.4,74,Si
Economia,Virtual,Si,21,9.600000000000001,49,No
Computacion,Hibrida,No,19,7.9,58,No
Computacion,Presencial,No,24,4.6,74,No
Medicina,Presencial,No,22,6.3,85,Si
Medicina,Presencial,Si,24,8.7,68,Si
Industrial,Presencial,No,30,8.8,60,Si
Arquitectura,Hibrida,No,28,6.7,81,No
Industrial,Virtual,No,30,4.3,64,No
Computacion,Hibrida,No,26,6.2,80,No
Arquitectura,Virtual,Si,30,5.8,60,Si
Computacion,Virtual,No,21,7.1,70,Si
Medicina,Virtual,Si,19,9.899999999999999,83,Si
Economia,Virtual,No,28,5.8,38,No
Economia,Virtual,Si,25,6.4,84,Si
Computacion,Hibrida,No,21,5.1,84,No
Industrial,Presencial,No,24,9.4,72,No
Industrial,Hibrida,Si,29,9.3,86,Si
Economia,Presencial,Si,27,10.0,90,Si
Arquitectura,Hibrida,Si,23,9.799999999999999,97,Si
Derecho,Hibrida,No,29,7.9,55,No
Medicina,Presencial,Si,27,6.0,83,No
Derecho,Hibrida,Si,23,8.0,63,Si
Industrial,Hibrida,Si,22,7.5,52,No
Industrial,Virtual,No,18,6.4,33,No
Economia,Virtual,No,27,8.7,75,Si
Derecho,Presencial,No,21,4.4,68,No
Arquitectura,Virtual,No,28,7.6,67,Si
Arquitectura,Presencial,No,23,5.9,78,Si
Industrial,Virtual,Si,26,8.399999999999999,76,Si
Arquitectura,Presencial,No,26,9.9,55,No
Arquitectura,Virtual,No,22,8.5,59,No
Arquitectura,Hibrida,Si,27,6.3999999999999995,77,No
Economia,Hibrida,No,21,6.3,84,Si
Arquitectura,Presencial,Si,24,5.8,57,No
Derecho,Hibrida,No,26,6.5,98,Si
Arquitectura,Virtual,No,30,6.2,41,No
Arquitectura,Virtual,Si,24,7.7,65,Si
Derecho,Virtual,No,18,7.2,52,No
Industrial,Presencial,No,27,7.9,76,Si
Industrial,Presencial,Si,20,8.5,82,Si
Industrial,Virtual,Si,23,8.2,40,No
Computacion,Hibrida,No,26,7.1,62,No
Derecho,Virtual,No,29,9.2,41,No
Derecho,Virtual,Si,22,4.9,40,No
Industrial,Hibrida,No,21,8.8,79,Si
Computacion,Hibrida,No,20,5.5,96,No
Computacion,Hibrida,Si,28,8.9,83,Si
Computacion,Virtual,No,29,7.2,90,Si
Industrial,Presencial,No,30,6.4,96,No
Economia,Virtual,No,24,8.7,47,No
Arquitectura,Presencial,Si,23,6.6,71,Si
Medicina,Presencial,No,19,6.0,100,No
Industrial,Virtual,Si,30,5.8999999999999995,49,No
Economia,Hibrida,No,27,4.2,58,No
Economia,Presencial,Si,23,7.6000000000000005,95,Si
Derecho,Hibrida,No,25,8.3,93,Si
Industrial,Hibrida,Si,20,7.8,74,Si
Derecho,Hibrida,No,20,7.5,66,Si
Arquitectura,Hibrida,No,25,7.7,60,No
Industrial,Presencial,No,26,6.2,81,No
Arquitectura,Virtual,Si,25,9.700000000000001,43,No
Derecho,Presencial,No,27,8.7,100,Si
Derecho,Virtual,No,25,7.4,85,Si
Arquitectura,Presencial,Si,23,8.5,75,Si
Arquitectura,Presencial,No,26,9.8,97,Si
Computacion,Presencial,No,27,7.1,65,Si
Industrial,Presencial,Si,21,8.2,79,Si
Economia,Hibrida,No,19,8.5,96,Si
Computacion,Presencial,No,18,5.2,65,No
Arquitectura,Virtual,No,19,7.2,94,Si
Industrial,Presencial,Si,25,5.1000000000000005,55,No
Arquitectura,Presencial,No,22,7.4,87,Si
Computacion,Hibrida,No,30,7.9,87,Si
Arquitectura,Virtual,Si,22,8.9,75,Si
Arquitectura,Virtual,No,28,5.8,72,Si
Industrial,Hibrida,No,28,6.6,98,No
Medicina,Presencial,No,26,6.8,67,Si
Medicina,Hibrida,No,19,9.6,88,Si
Arquitectura,Presencial,Si,30,4.9,64,No
Economia,Hibrida,No,19,8.1,89,Si
Industrial,Presencial,No,20,5.2,75,No
Derecho,Hibrida,Si,23,10.0,80,Si
Industrial,Virtual,Si,22,6.8999999999999995,53,No
Economia,Hibrida,No,25,5.8,86,Si
Medicina,Presencial,No,18,9.8,87,Si
Medicina,Virtual,Si,29,5.9,87,Si
Medicina,Virtual,No,26,7.4,51,No
Computacion,Presencial,Si,20,6.8,80,No
Computacion,Hibrida,No,29,9.8,95,Si
Economia,Hibrida,No,18,4.6,90,No
Arquitectura,Virtual,No,22,4.7,51,No
Industrial,Virtual,Si,20,7.9,75,Si
Economia,Hibrida,No,26,7.2,68,No
Derecho,Presencial,No,23,9.4,78,Si
Derecho,Presencial,No,25,5.4,73,No
Industrial,Hibrida,No,22,7.6,51,No
Industrial,Virtual,No,24,8.8,47,No
Arquitectura,Virtual,Si,27,7.199999999999999,37,No
Arquitectura,Virtual,Si,29,4.9,47,No
Computacion,Hibrida,No,27,7.9,62,No
Industrial,Virtual,No,25,6.7,88,No
Computacion,Presencial,No,25,7.2,94,Si
Medicina,Presencial,No,27,5.8,100,Si
Derecho,Virtual,No,20,5.6,49,No
Industrial,Hibrida,Si,30,9.6,72,No
Arquitectura,Presencial,Si,30,5.0,69,No
Arquitectura,Presencial,Si,26,6.3999999999999995,54,No
Derecho,Hibrida,Si,21,6.6,77,Si
Derecho,Virtual,Si,20,10.0,70,Si
Medicina,Hibrida,Si,24,4.5,89,No
Arquitectura,Presencial,Si,20,7.6,87,Si
Derecho,Presencial,No,29,7.6,97,Si
Medicina,Presencial,Si,19,9.0,85,Si
Medicina,Presencial,Si,24,9.100000000000001,81,Si
Computacion,Virtual,No,21,10.0,38,No
Computacion,Virtual,No,18,4.8,55,No
Derecho,Hibrida,Si,20,8.2,98,Si
Derecho,Hibrida,No,23,7.7,60,Si
Derecho,Hibrida,Si,29,9.0,92,Si
Computacion,Presencial,Si,25,5.7,75,No
Economia,Hibrida,No,18,8.7,71,Si
Medicina,Presencial,Si,24,4.8999999999999995,88,No
Computacion,Presencial,No,21,4.6,54,No
Medicina,Virtual,No,26,6.6,98,Si
Medicina,Virtual,Si,23,8.3,79,Si
Arquitectura,Presencial,Si,21,7.3,59,No
Computacion,Hibrida,No,22,9.3,56,No
Economia,Presencial,No,23,8.3,79,Si
Arquitectura,Hibrida,No,30,9.4,70,Si
Industrial,Presencial,Si,29,9.9,74,No
Derecho,Presencial,Si,28,4.4,100,No
Computacion,Hibrida,No,25,9.1,62,No
Arquitectura,Virtual,No,21,6.7,47,No
Economia,Hibrida,No,23,10.0,61,Si
Medicina,Hibrida,No,28,4.6,84,No
Economia,Virtual,Si,26,5.5,45,No
Industrial,Virtual,Si,23,6.6,70,No
Derecho,Virtual,Si,20,9.2,59,No
Arquitectura,Hibrida,Si,27,9.2,83,Si
Arquitectura,Presencial,Si,23,5.1,93,No
Arquitectura,Presencial,Si,26,10.0,89,Si
Computacion,Virtual,No,24,9.4,56,No
Derecho,Hibrida,No,18,4.4,95,No
Economia,Presencial,Si,18,8.6,58,No
Derecho,Virtual,Si,28,6.7,76,Si
Derecho,Virtual,Si,24,4.9,88,No
Economia,Virtual,Si,28,5.3,61,No
Derecho,Hibrida,No,22,8.9,84,Si
Medicina,Presencial,Si,30,10.0,80,Si
Economia,Presencial,No,24,7.5,95,Si
